timestamps,PPG1,PPG2,PPG3
1685718354.268,1808.000,108053.000,61569.000
1685718354.268,1813.000,108090.000,61554.000
1685718354.358,1822.000,108120.000,61543.000
1685718354.358,1838.000,108136.000,61537.000
1685718354.358,1842.000,108162.000,61542.000
1685718354.358,1863.000,108162.000,61555.000
1685718354.358,1864.000,108192.000,61586.000
1685718354.358,1878.000,108207.000,61595.000
1685718354.463,1884.000,108277.000,61598.000
1685718354.463,1893.000,108221.000,61629.000
1685718354.463,1898.000,108240.000,61626.000
1685718354.463,1899.000,108233.000,61662.000
1685718354.463,1902.000,108255.000,61646.000
1685718354.463,1903.000,108254.000,61656.000
1685718354.553,1911.000,108206.000,61671.000
1685718354.553,1901.000,108196.000,61661.000
1685718354.553,1908.000,108249.000,61643.000
1685718354.553,1897.000,108206.000,61626.000
1685718354.553,1893.000,108219.000,61615.000
1685718354.553,1886.000,108164.000,61612.000
1685718354.643,1875.000,108197.000,61610.000
1685718354.643,1875.000,108131.000,61582.000
1685718354.643,1856.000,108087.000,61581.000
1685718354.643,1853.000,108084.000,61578.000
1685718354.643,1841.000,108101.000,61574.000
1685718354.643,1838.000,108021.000,61554.000
1685718354.734,1829.000,108035.000,61555.000
1685718354.734,1821.000,107979.000,61535.000
1685718354.734,1822.000,107981.000,61547.000
1685718354.734,1811.000,107927.000,61535.000
1685718354.734,1818.000,107896.000,61507.000
1685718354.734,1810.000,107936.000,61528.000
1685718354.823,1813.000,107924.000,61536.000
1685718354.823,1812.000,107859.000,61497.000
1685718354.823,1808.000,107858.000,61508.000
1685718354.823,1812.000,107881.000,61478.000
1685718354.823,1804.000,107833.000,61477.000
1685718354.823,1812.000,107805.000,61470.000
1685718354.929,1808.000,107821.000,61467.000
1685718354.929,1816.000,107781.000,61461.000
1685718354.929,1812.000,107808.000,61446.000
1685718354.929,1814.000,107791.000,61411.000
1685718354.929,1816.000,107736.000,61459.000
1685718354.929,1815.000,107761.000,61439.000
1685718355.019,1824.000,107786.000,61448.000
1685718355.019,1822.000,107807.000,61432.000
1685718355.019,1829.000,107793.000,61426.000
1685718355.019,1823.000,107708.000,61410.000
1685718355.019,1828.000,107764.000,61403.000
1685718355.019,1826.000,107777.000,61441.000
1685718355.108,1826.000,107729.000,61401.000
1685718355.108,1822.000,107712.000,61430.000
1685718355.108,1818.000,107741.000,61388.000
1685718355.108,1821.000,107768.000,61432.000
1685718355.108,1811.000,107761.000,61414.000
1685718355.108,1817.000,107751.000,61421.000
1685718355.198,1814.000,107747.000,61396.000
1685718355.198,1816.000,107712.000,61388.000
1685718355.198,1812.000,107703.000,61404.000
1685718355.198,1807.000,107742.000,61390.000
1685718355.198,1813.000,107703.000,61383.000
1685718355.198,1806.000,107666.000,61389.000
1685718355.304,1815.000,107638.000,61345.000
1685718355.304,1807.000,107596.000,61346.000
1685718355.304,1812.000,107619.000,61351.000
1685718355.304,1809.000,107552.000,61331.000
1685718355.304,1809.000,107559.000,61294.000
1685718355.304,1814.000,107529.000,61300.000
1685718355.395,1808.000,107504.000,61306.000
1685718355.395,1813.000,107428.000,61274.000
1685718355.395,1807.000,107462.000,61273.000
1685718355.395,1812.000,107430.000,61289.000
1685718355.395,1808.000,107355.000,61263.000
1685718355.395,1810.000,107389.000,61252.000
1685718355.483,1808.000,107346.000,61245.000
1685718355.483,1807.000,107341.000,61266.000
1685718355.483,1813.000,107321.000,61241.000
1685718355.483,1812.000,107360.000,61250.000
1685718355.483,1819.000,107344.000,61241.000
1685718355.483,1816.000,107306.000,61231.000
1685718355.573,1818.000,107310.000,61212.000
1685718355.573,1824.000,107281.000,61225.000
1685718355.573,1823.000,107268.000,61241.000
1685718355.573,1830.000,107293.000,61217.000
1685718355.573,1826.000,107238.000,61210.000
1685718355.573,1830.000,107286.000,61222.000
1685718355.678,1827.000,107264.000,61216.000
1685718355.678,1833.000,107242.000,61221.000
1685718355.678,1828.000,107248.000,61230.000
1685718355.678,1826.000,107196.000,61200.000
1685718355.678,1825.000,107248.000,61226.000
1685718355.678,1823.000,107226.000,61224.000
1685718355.783,1831.000,107236.000,61201.000
1685718355.783,1822.000,107245.000,61198.000
1685718355.783,1824.000,107205.000,61190.000
1685718355.783,1825.000,107258.000,61197.000
1685718355.783,1825.000,107296.000,61219.000
1685718355.783,1822.000,107268.000,61216.000
1685718355.858,1825.000,107274.000,61223.000
1685718355.858,1827.000,107256.000,61223.000
1685718355.858,1827.000,107240.000,61198.000
1685718355.858,1829.000,107231.000,61194.000
1685718355.858,1820.000,107197.000,61140.000
1685718355.858,1824.000,107175.000,61174.000
1685718355.948,1820.000,107114.000,61162.000
1685718355.948,1819.000,107087.000,61159.000
1685718355.948,1828.000,107056.000,61143.000
1685718355.948,1817.000,107038.000,61160.000
1685718355.948,1827.000,107016.000,61112.000
1685718355.948,1820.000,106972.000,61122.000
1685718356.053,1822.000,106979.000,61135.000
1685718356.053,1817.000,106928.000,61093.000
1685718356.053,1812.000,106893.000,61109.000
1685718356.053,1816.000,106907.000,61102.000
1685718356.053,1815.000,106909.000,61103.000
1685718356.053,1820.000,106843.000,61080.000
1685718356.143,1812.000,106808.000,61087.000
1685718356.143,1818.000,106823.000,61071.000
1685718356.143,1811.000,106813.000,61086.000
1685718356.143,1814.000,106809.000,61076.000
1685718356.143,1810.000,106805.000,61086.000
1685718356.143,1810.000,106756.000,61070.000
1685718356.233,1814.000,106771.000,61076.000
1685718356.233,1810.000,106755.000,61070.000
1685718356.233,1821.000,106784.000,61070.000
1685718356.233,1811.000,106738.000,61061.000
1685718356.233,1817.000,106779.000,61063.000
1685718356.233,1814.000,106731.000,61068.000
1685718356.323,1815.000,106765.000,61057.000
1685718356.323,1819.000,106725.000,61073.000
1685718356.323,1816.000,106733.000,61063.000
1685718356.323,1821.000,106755.000,61082.000
1685718356.323,1817.000,106763.000,61080.000
1685718356.323,1819.000,106737.000,61097.000
1685718356.428,1814.000,106754.000,61069.000
1685718356.428,1817.000,106800.000,61080.000
1685718356.428,1822.000,106764.000,61069.000
1685718356.428,1818.000,106794.000,61093.000
1685718356.428,1822.000,106816.000,61096.000
